GENESIS-Tabelle: 23131-0004
Krankenhauspatienten: Deutschland, Jahre, Geschlecht,;;;;;;;;;;;;;;;;;;;;;;;;;;;
Altersgruppen, Fachabteilungen, Hauptdiagnose ICD-10;;;;;;;;;;;;;;;;;;;;;;;;;;;
(1-Steller);;;;;;;;;;;;;;;;;;;;;;;;;;;
Diagnosen der Krankenhauspatienten;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;
Entlassene Patienten (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt
2022;Neonatologie;ICD10-Q00-Q99;Angeb.Fehlbild.,Deformitäten,Chromosomenanomalien;-;-;-;-;-;-;-;1138;-;-;-;-;-;-;-;953;-;-;-;-;-;-;-;2091
2022;Neonatologie;ICD10-R00-R99;Symptome u.abnorme klin. u.Laborbefunde,ao.n.kl.;-;-;-;-;-;-;-;355;-;-;-;-;-;-;-;270;-;-;-;-;-;-;-;625
2022;Neonatologie;ICD10-S00-T98;Verletzungen und Vergiftungen;-;-;-;-;-;-;-;136;-;-;-;-;-;-;-;116;-;-;-;-;-;-;-;252
2022;Neonatologie;ICD10-Z00-Z99;Faktoren,die zur Inanspruchn.d.Gesundheitsw.führen;-;-;-;-;-;-;-;932;-;-;-;-;-;-;-;833;-;-;-;-;-;-;-;1765
2022;Neonatologie;ICD10-U00-U85;Schlüsselnummern für besondere Zwecke;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;4
2022;Neonatologie;UNBEKANNT;unbekannt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2022;Neonatologie;;Insgesamt;-;-;-;-;-;-;-;24753;-;-;-;-;-;-;-;19495;-;-;-;-;-;-;-;44248
2022;Kinderchirurgie;ICD10-A00-B99;Bestimmte infektiöse und parasitäre Krankheiten;350;86;-;-;-;-;-;1168;377;152;1;-;-;-;-;1071;727;238;1;-;-;-;-;2239
2022;Kinderchirurgie;ICD10-C00-C97;Bösartige Neubildungen;77;54;9;-;-;-;-;505;88;60;4;-;-;-;-;404;165;114;13;-;-;-;-;909
2022;Kinderchirurgie;ICD10-D00-D48;Übrige Neubildungen;149;56;2;-;1;-;-;923;215;61;6;-;-;-;-;1282;364;117;8;-;1;-;-;2205
2022;Kinderchirurgie;ICD10-D50-D90;Krankheiten des Blutes;21;7;3;-;-;-;-;109;21;17;4;-;-;-;-;101;42;24;7;-;-;-;-;210
2022;Kinderchirurgie;ICD10-E00-E90;Endokrine, Ernährungs- und Stoffwechselkrankheiten;17;9;-;-;-;-;-;71;13;19;-;-;-;-;-;87;30;28;-;-;-;-;-;158
2022;Kinderchirurgie;ICD10-F00-F99;Psychische und Verhaltensstörungen;20;7;-;-;-;-;-;47;24;14;-;-;-;-;-;59;44;21;-;-;-;-;-;106
2022;Kinderchirurgie;ICD10-G00-G99;Krankheiten des Nervensystems;55;39;2;-;-;-;-;356;59;29;5;-;-;-;-;230;114;68;7;-;-;-;-;586
2022;Kinderchirurgie;ICD10-H00-H59;Krankheiten des Auges und der Augenanhangsgebilde;20;7;-;-;-;-;-;94;31;4;-;-;-;-;-;104;51;11;-;-;-;-;-;198
2022;Kinderchirurgie;ICD10-H60-H95;Krankheiten des Ohres und des Warzenfortsatzes;11;-;-;-;-;-;-;88;9;3;-;-;-;-;-;73;20;3;-;-;-;-;-;161
2022;Kinderchirurgie;ICD10-I00-I99;Krankheiten des Kreislaufsystems;210;53;2;-;-;-;-;488;128;33;1;-;-;-;-;298;338;86;3;-;-;-;-;786
2022;Kinderchirurgie;ICD10-J00-J99;Krankheiten des Atmungssystems;45;28;4;-;-;-;-;867;42;22;2;-;-;-;-;564;87;50;6;-;-;-;-;1431
2022;Kinderchirurgie;ICD10-K00-K93;Krankheiten des Verdauungssystems;2240;679;11;1;-;-;-;9588;1711;690;12;-;-;-;-;5531;3951;1369;23;1;-;-;-;15119
2022;Kinderchirurgie;ICD10-L00-L99;Krankheiten der Haut und der Unterhaut;547;337;2;-;-;-;-;2142;511;301;2;-;-;-;-;1845;1058;638;4;-;-;-;-;3987
2022;Kinderchirurgie;ICD10-M00-M99;Krankh. d. Muskel-Skelett-Systems u.d.Bindegewebes;801;217;7;-;-;-;-;1649;588;165;4;-;-;-;-;1209;1389;382;11;-;-;-;-;2858
2022;Kinderchirurgie;ICD10-N00-N99;Krankheiten des Urogenitalsystems;1504;494;9;-;-;-;-;4551;590;298;7;-;-;-;-;1649;2094;792;16;-;-;-;-;6200
2022;Kinderchirurgie;ICD10-O00-O99;Schwangerschaft, Geburt und Wochenbett;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;1;-;-;-;-;-;2
2022;Kinderchirurgie;ICD10-P00-P96;Best. Zustände mit Ursprung i.d Perinatalperiode;-;-;-;-;-;-;-;141;-;-;-;-;-;-;-;104;-;-;-;-;-;-;-;245
2022;Kinderchirurgie;ICD10-Q00-Q99;Angeb.Fehlbild.,Deformitäten,Chromosomenanomalien;638;369;110;-;-;-;-;10886;329;166;21;-;-;-;-;3799;967;535;131;-;-;-;-;14685
2022;Kinderchirurgie;ICD10-R00-R99;Symptome u.abnorme klin. u.Laborbefunde,ao.n.kl.;422;114;2;-;-;-;-;1171;590;299;8;-;-;-;-;1496;1012;413;10;-;-;-;-;2667
2022;Kinderchirurgie;ICD10-S00-T98;Verletzungen und Vergiftungen;7525;1685;24;-;-;-;-;27990;4270;1025;14;-;-;-;-;19227;11795;2710;38;-;-;-;-;47217
2022;Kinderchirurgie;ICD10-Z00-Z99;Faktoren,die zur Inanspruchn.d.Gesundheitsw.führen;76;22;2;-;-;-;-;532;39;24;-;-;-;-;-;424;115;46;2;-;-;-;-;956
2022;Kinderchirurgie;ICD10-U00-U85;Schlüsselnummern für besondere Zwecke;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;2
2022;Kinderchirurgie;UNBEKANNT;unbekannt;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
2022;Kinderchirurgie;;Insgesamt;14728;4263;189;1;1;-;-;63370;9635;3383;91;-;-;-;-;39561;24363;7646;280;1;1;-;-;102931
2022;Lungen- und Bronchialheilkunde;ICD10-A00-B99;Bestimmte infektiöse und parasitäre Krankheiten;-;4;8;50;55;53;62;630;-;1;4;39;41;31;50;351;-;5;12;89;96;84;112;981
2022;Lungen- und Bronchialheilkunde;ICD10-C00-C97;Bösartige Neubildungen;-;1;-;931;851;613;490;4613;-;1;-;651;624;488;246;3359;-;2;-;1582;1475;1101;736;7972
2022;Lungen- und Bronchialheilkunde;ICD10-D00-D48;Übrige Neubildungen;-;-;-;148;140;98;100;810;-;-;-;120;93;79;85;619;-;-;-;268;233;177;185;1429
2022;Lungen- und Bronchialheilkunde;ICD10-D50-D90;Krankheiten des Blutes;-;-;-;29;17;10;12;288;-;-;-;25;27;11;11;210;-;-;-;54;44;21;23;498
2022;Lungen- und Bronchialheilkunde;ICD10-E00-E90;Endokrine, Ernährungs- und Stoffwechselkrankheiten;-;-;-;23;25;18;23;189;-;-;-;26;26;25;21;212;-;-;-;49;51;43;44;401
2022;Lungen- und Bronchialheilkunde;ICD10-F00-F99;Psychische und Verhaltensstörungen;-;-;2;3;2;-;1;48;-;-;1;1;1;2;-;23;-;-;3;4;3;2;1;71
2022;Lungen- und Bronchialheilkunde;ICD10-G00-G99;Krankheiten des Nervensystems;1;1;1;239;202;184;100;2211;-;-;-;118;91;90;61;949;1;1;1;357;293;274;161;3160
2022;Lungen- und Bronchialheilkunde;ICD10-H00-H59;Krankheiten des Auges und der Augenanhangsgebilde;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;3;-;-;1;1;-;-;-;3
2022;Lungen- und Bronchialheilkunde;ICD10-H60-H95;Krankheiten des Ohres und des Warzenfortsatzes;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2022;Lungen- und Bronchialheilkunde;ICD10-I00-I99;Krankheiten des Kreislaufsystems;-;-;-;101;138;151;198;1008;-;-;1;82;106;133;158;849;-;-;1;183;244;284;356;1857
2022;Lungen- und Bronchialheilkunde;ICD10-J00-J99;Krankheiten des Atmungssystems;-;11;19;1573;1531;1292;1313;9970;-;5;18;1213;1285;939;907;7885;-;16;37;2786;2816;2231;2220;17855
2022;Lungen- und Bronchialheilkunde;ICD10-K00-K93;Krankheiten des Verdauungssystems;-;-;1;10;8;8;10;92;-;-;-;14;11;9;13;103;-;-;1;24;19;17;23;195
2022;Lungen- und Bronchialheilkunde;ICD10-L00-L99;Krankheiten der Haut und der Unterhaut;-;-;1;4;2;5;2;23;-;-;-;2;-;-;-;15;-;-;1;6;2;5;2;38
2022;Lungen- und Bronchialheilkunde;ICD10-M00-M99;Krankh. d. Muskel-Skelett-Systems u.d.Bindegewebes;-;-;-;17;20;7;15;144;-;1;-;24;24;28;18;181;-;1;-;41;44;35;33;325
2022;Lungen- und Bronchialheilkunde;ICD10-N00-N99;Krankheiten des Urogenitalsystems;-;-;-;16;17;12;23;135;-;-;-;6;16;18;26;136;-;-;-;22;33;30;49;271
2022;Lungen- und Bronchialheilkunde;ICD10-O00-O99;Schwangerschaft, Geburt und Wochenbett;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;9;-;1;-;-;-;-;-;9
2022;Lungen- und Bronchialheilkunde;ICD10-P00-P96;Best. Zustände mit Ursprung i.d Perinatalperiode;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2022;Lungen- und Bronchialheilkunde;ICD10-Q00-Q99;Angeb.Fehlbild.,Deformitäten,Chromosomenanomalien;-;-;-;1;-;-;-;7;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;10
2022;Lungen- und Bronchialheilkunde;ICD10-R00-R99;Symptome u.abnorme klin. u.Laborbefunde,ao.n.kl.;-;1;6;134;128;105;88;1060;-;3;2;86;96;91;64;834;-;4;8;220;224;196;152;1894
2022;Lungen- und Bronchialheilkunde;ICD10-S00-T98;Verletzungen und Vergiftungen;-;2;3;15;17;11;14;139;1;2;-;24;9;12;12;127;1;4;3;39;26;23;26;266
2022;Lungen- und Bronchialheilkunde;ICD10-Z00-Z99;Faktoren,die zur Inanspruchn.d.Gesundheitsw.führen;2;-;4;29;26;11;9;267;2;4;3;36;38;16;15;411;4;4;7;65;64;27;24;678
2022;Lungen- und Bronchialheilkunde;ICD10-U00-U85;Schlüsselnummern für besondere Zwecke;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
2022;Lungen- und Bronchialheilkunde;UNBEKANNT;unbekannt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2022;Lungen- und Bronchialheilkunde;;Insgesamt;3;20;45;3323;3179;2578;2460;21635;3;18;30;2468;2488;1972;1687;16279;6;38;75;5791;5667;4550;4147;37914
2022;Chirurgie;ICD10-A00-B99;Bestimmte infektiöse und parasitäre Krankheiten;228;284;308;1223;1255;985;1271;14567;233;409;440;898;849;967;1462;12929;461;693;748;2121;2104;1952;2733;27496
2022;Chirurgie;ICD10-C00-C97;Bösartige Neubildungen;19;50;60;12598;13130;10620;10176;81979;27;35;49;9033;9530;8389;9424;69214;46;85;109;21631;22660;19009;19600;151193
2022;Chirurgie;ICD10-D00-D48;Übrige Neubildungen;62;57;35;1859;1797;1364;1207;15229;86;79;85;1866;1868;1445;1312;17608;148;136;120;3725;3665;2809;2519;32837
2022;Chirurgie;ICD10-D50-D90;Krankheiten des Blutes;3;5;10;102;92;67;103;900;5;12;18;89;92;102;127;1076;8;17;28;191;184;169;230;1976
2022;Chirurgie;ICD10-E00-E90;Endokrine, Ernährungs- und Stoffwechselkrankheiten;15;46;104;4258;3985;2698;2734;36384;28;106;246;4196;3356;2082;1826;60857;43;152;350;8454;7341;4780;4560;97241
2022;Chirurgie;ICD10-F00-F99;Psychische und Verhaltensstörungen;2;27;66;126;74;65;64;2108;3;13;39;183;140;149;125;2750;5;40;105;309;214;214;189;4858
2022;Chirurgie;ICD10-G00-G99;Krankheiten des Nervensystems;57;39;47;318;358;315;387;3928;30;45;39;313;346;383;581;4584;87;84;86;631;704;698;968;8512
2022;Chirurgie;ICD10-H00-H59;Krankheiten des Auges und der Augenanhangsgebilde;1;2;-;18;8;9;13;99;1;-;2;27;19;13;8;205;2;2;2;45;27;22;21;304
2022;Chirurgie;ICD10-H60-H95;Krankheiten des Ohres und des Warzenfortsatzes;6;-;1;5;6;6;5;60;6;1;1;3;2;7;4;53;12;1;2;8;8;13;9;113
2022;Chirurgie;ICD10-I00-I99;Krankheiten des Kreislaufsystems;75;82;62;11748;11381;9146;10125;74769;58;83;109;6084;6492;6152;8176;52647;133;165;171;17832;17873;15298;18301;127416
2022;Chirurgie;ICD10-J00-J99;Krankheiten des Atmungssystems;21;112;207;1037;998;871;873;9686;22;30;42;540;525;460;493;4757;43;142;249;1577;1523;1331;1366;14443
2022;Chirurgie;ICD10-K00-K93;Krankheiten des Verdauungssystems;2049;2707;3531;42378;39073;30486;31096;436301;1768;3257;4067;29875;27594;22537;26448;336866;3817;5964;7598;72253;66667;53023;57544;773168
2022;Chirurgie;ICD10-L00-L99;Krankheiten der Haut und der Unterhaut;336;1404;1747;3335;2872;2479;2828;55420;388;855;778;2079;2131;2156;3442;37036;724;2259;2525;5414;5003;4635;6270;92456
2022;Chirurgie;ICD10-M00-M99;Krankh. d. Muskel-Skelett-Systems u.d.Bindegewebes;1051;990;910;22733;21677;16727;14513;196064;961;1026;772;27582;29923;25774;25744;234310;2012;2016;1682;50315;51600;42501;40257;430374
2022;Chirurgie;ICD10-N00-N99;Krankheiten des Urogenitalsystems;107;92;125;1711;1673;1282;1626;17657;180;520;720;1530;1351;1119;1547;21168;287;612;845;3241;3024;2401;3173;38825
2022;Chirurgie;ICD10-O00-O99;Schwangerschaft, Geburt und Wochenbett;-;-;-;-;-;-;-;-;-;2;14;-;-;-;-;699;-;2;14;-;-;-;-;699
2022;Chirurgie;ICD10-P00-P96;Best. Zustände mit Ursprung i.d Perinatalperiode;-;-;-;-;-;-;-;11;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;23
2022;Chirurgie;ICD10-Q00-Q99;Angeb.Fehlbild.,Deformitäten,Chromosomenanomalien;451;199;113;56;54;22;17;3609;323;157;117;89;64;44;40;3290;774;356;230;145;118;66;57;6899
2022;Chirurgie;ICD10-R00-R99;Symptome u.abnorme klin. u.Laborbefunde,ao.n.kl.;450;534;610;973;944;768;954;15067;711;1226;1344;1136;1099;970;1228;23056;1161;1760;1954;2109;2043;1738;2182;38123
2022;Chirurgie;ICD10-S00-T98;Verletzungen und Vergiftungen;4141;5434;4850;16903;16191;14980;21753;228893;2339;2524;2399;20941;23359;25828;42821;269408;6480;7958;7249;37844;39550;40808;64574;498301
2022;Chirurgie;ICD10-Z00-Z99;Faktoren,die zur Inanspruchn.d.Gesundheitsw.führen;39;23;41;175;165;107;136;1892;35;13;30;182;113;97;123;2415;74;36;71;357;278;204;259;4307
2022;Chirurgie;ICD10-U00-U85;Schlüsselnummern für besondere Zwecke;1;-;-;2;-;1;-;7;-;-;-;-;-;-;-;2;1;-;-;2;-;1;-;9
2022;Chirurgie;UNBEKANNT;unbekannt;-;-;-;-;1;-;1;9;-;-;-;-;-;2;1;8;-;-;-;-;1;2;2;17
2022;Chirurgie;;Insgesamt;9114;12087;12827;121558;115734;92998;99882;1194639;7204;10393;11311;106646;108853;98676;124932;1154950;16318;22480;24138;228204;224587;191674;224814;2349590
2022;Unfallchirurgie;ICD10-A00-B99;Bestimmte infektiöse und parasitäre Krankheiten;6;9;11;143;148;147;157;1715;1;2;9;92;96;133;183;1174;7;11;20;235;244;280;340;2889
2022;Unfallchirurgie;ICD10-C00-C97;Bösartige Neubildungen;14;11;16;363;407;343;418;2811;16;13;7;300;337;270;334;2544;30;24;23;663;744;613;752;5355
2022;Unfallchirurgie;ICD10-D00-D48;Übrige Neubildungen;32;30;27;81;70;50;33;1132;21;31;23;104;66;66;64;1207;53;61;50;185;136;116;97;2339
2022;Unfallchirurgie;ICD10-D50-D90;Krankheiten des Blutes;-;-;-;2;7;4;16;55;-;1;-;13;11;9;18;97;-;1;-;15;18;13;34;152
2022;Unfallchirurgie;ICD10-E00-E90;Endokrine, Ernährungs- und Stoffwechselkrankheiten;-;1;-;141;126;92;105;1025;-;1;-;47;54;37;89;603;-;2;-;188;180;129;194;1628
2022;Unfallchirurgie;ICD10-F00-F99;Psychische und Verhaltensstörungen;2;10;15;40;31;19;20;629;5;12;12;26;22;20;35;373;7;22;27;66;53;39;55;1002
2022;Unfallchirurgie;ICD10-G00-G99;Krankheiten des Nervensystems;9;9;12;134;131;135;144;1495;6;9;5;122;137;126;238;1687;15;18;17;256;268;261;382;3182
2022;Unfallchirurgie;ICD10-H00-H59;Krankheiten des Auges und der Augenanhangsgebilde;1;-;-;1;2;-;-;16;2;-;-;1;3;1;4;20;3;-;-;2;5;1;4;36
2022;Unfallchirurgie;ICD10-H60-H95;Krankheiten des Ohres und des Warzenfortsatzes;-;-;-;2;-;-;4;10;1;-;-;2;1;3;4;19;1;-;-;4;1;3;8;29
2022;Unfallchirurgie;ICD10-I00-I99;Krankheiten des Kreislaufsystems;7;5;4;125;142;142;230;1313;1;5;2;58;111;125;249;1183;8;10;6;183;253;267;479;2496
2022;Unfallchirurgie;ICD10-J00-J99;Krankheiten des Atmungssystems;2;8;18;37;41;38;66;510;1;1;3;37;31;42;70;381;3;9;21;74;72;80;136;891
2022;Unfallchirurgie;ICD10-K00-K93;Krankheiten des Verdauungssystems;-;7;9;80;77;76;72;922;4;5;4;29;30;41;66;418;4;12;13;109;107;117;138;1340
2022;Unfallchirurgie;ICD10-L00-L99;Krankheiten der Haut und der Unterhaut;66;89;87;496;406;390;412;6847;38;57;52;308;350;333;537;4930;104;146;139;804;756;723;949;11777
2022;Unfallchirurgie;ICD10-M00-M99;Krankh. d. Muskel-Skelett-Systems u.d.Bindegewebes;920;845;553;9159;8728;7216;6781;91690;824;688;486;10498;11816;11163;12519;102481;1744;1533;1039;19657;20544;18379;19300;194171
2022;Unfallchirurgie;ICD10-N00-N99;Krankheiten des Urogenitalsystems;2;1;2;11;30;32;32;261;-;1;10;24;26;33;47;346;2;2;12;35;56;65;79;607
2022;Unfallchirurgie;ICD10-O00-O99;Schwangerschaft, Geburt und Wochenbett;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29;-;-;-;-;-;-;-;29
2022;Unfallchirurgie;ICD10-P00-P96;Best. Zustände mit Ursprung i.d Perinatalperiode;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2022;Unfallchirurgie;ICD10-Q00-Q99;Angeb.Fehlbild.,Deformitäten,Chromosomenanomalien;263;87;25;-;1;2;-;841;204;81;48;7;4;1;4;883;467;168;73;7;5;3;4;1724
2022;Unfallchirurgie;ICD10-R00-R99;Symptome u.abnorme klin. u.Laborbefunde,ao.n.kl.;15;20;21;104;84;101;142;1689;11;15;13;83;106;115;221;1523;26;35;34;187;190;216;363;3212
2022;Unfallchirurgie;ICD10-S00-T98;Verletzungen und Vergiftungen;6028;6686;5587;14632;13633;13454;19782;239245;3180;3010;2693;20118;22142;25267;41912;273273;9208;9696;8280;34750;35775;38721;61694;512518
2022;Unfallchirurgie;ICD10-Z00-Z99;Faktoren,die zur Inanspruchn.d.Gesundheitsw.führen;11;19;26;23;15;15;30;512;15;10;11;17;13;23;35;374;26;29;37;40;28;38;65;886
2022;Unfallchirurgie;ICD10-U00-U85;Schlüsselnummern für besondere Zwecke;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2022;Unfallchirurgie;UNBEKANNT;unbekannt;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;3
2022;Unfallchirurgie;;Insgesamt;7378;7837;6413;25574;24079;22256;28445;352720;4330;3942;3378;31886;35356;37808;56629;393546;11708;11779;9791;57460;59435;60064;85074;746266
2022;Neurochirurgie;ICD10-A00-B99;Bestimmte infektiöse und parasitäre Krankheiten;2;-;2;23;21;31;21;229;-;1;1;14;22;16;17;152;2;1;3;37;43;47;38;381
2022;Neurochirurgie;ICD10-C00-C97;Bösartige Neubildungen;15;22;37;1641;1514;992;805;11176;9;13;26;1229;1075;761;631;8737;24;35;63;2870;2589;1753;1436;19913
2022;Neurochirurgie;ICD10-D00-D48;Übrige Neubildungen;27;45;58;664;632;451;338;6588;24;45;53;1074;938;677;541;9636;51;90;111;1738;1570;1128;879;16224
2022;Neurochirurgie;ICD10-D50-D90;Krankheiten des Blutes;-;-;-;3;2;-;3;19;-;-;-;2;1;2;4;29;-;-;-;5;3;2;7;48
2022;Neurochirurgie;ICD10-E00-E90;Endokrine, Ernährungs- und Stoffwechselkrankheiten;2;2;1;15;12;14;15;146;1;1;2;23;24;14;16;243;3;3;3;38;36;28;31;389
2022;Neurochirurgie;ICD10-F00-F99;Psychische und Verhaltensstörungen;-;1;2;20;17;13;8;222;1;4;4;26;25;15;20;303;1;5;6;46;42;28;28;525
2022;Neurochirurgie;ICD10-G00-G99;Krankheiten des Nervensystems;71;62;91;962;986;828;720;8861;48;60;85;733;787;672;574;8154;119;122;176;1695;1773;1500;1294;17015
2022;Neurochirurgie;ICD10-H00-H59;Krankheiten des Auges und der Augenanhangsgebilde;-;-;-;1;4;3;3;43;1;-;-;4;2;2;4;34;1;-;-;5;6;5;7;77
2022;Neurochirurgie;ICD10-H60-H95;Krankheiten des Ohres und des Warzenfortsatzes;2;-;-;1;4;1;1;28;-;-;2;3;5;1;2;37;2;-;2;4;9;2;3;65
2022;Neurochirurgie;ICD10-I00-I99;Krankheiten des Kreislaufsystems;12;15;23;1281;1217;1018;1262;10893;8;8;14;1384;1193;909;997;12145;20;23;37;2665;2410;1927;2259;23038
2022;Neurochirurgie;ICD10-J00-J99;Krankheiten des Atmungssystems;2;4;1;15;11;17;15;132;-;-;-;4;10;11;15;93;2;4;1;19;21;28;30;225
2022;Neurochirurgie;ICD10-K00-K93;Krankheiten des Verdauungssystems;-;-;3;11;11;6;6;89;-;1;2;7;9;9;9;67;-;1;5;18;20;15;15;156
2022;Neurochirurgie;ICD10-L00-L99;Krankheiten der Haut und der Unterhaut;-;-;-;16;24;18;9;197;1;2;1;15;8;5;10;155;1;2;1;31;32;23;19;352
2022;Neurochirurgie;ICD10-M00-M99;Krankh. d. Muskel-Skelett-Systems u.d.Bindegewebes;18;42;44;4552;4637;3915;3567;42484;27;44;69;4365;4645;4265;4619;42003;45;86;113;8917;9282;8180;8186;84487
2022;Neurochirurgie;ICD10-N00-N99;Krankheiten des Urogenitalsystems;1;-;-;10;11;13;12;95;1;-;-;12;7;6;10;90;2;-;-;22;18;19;22;185
2022;Neurochirurgie;ICD10-O00-O99;Schwangerschaft, Geburt und Wochenbett;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;28;-;1;-;-;-;-;-;28
2022;Neurochirurgie;ICD10-P00-P96;Best. Zustände mit Ursprung i.d Perinatalperiode;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;6
2022;Neurochirurgie;ICD10-Q00-Q99;Angeb.Fehlbild.,Deformitäten,Chromosomenanomalien;19;15;29;38;26;11;13;731;15;17;37;55;36;19;6;899;34;32;66;93;62;30;19;1630
2022;Neurochirurgie;ICD10-R00-R99;Symptome u.abnorme klin. u.Laborbefunde,ao.n.kl.;2;8;11;76;84;77;94;867;3;6;15;93;78;96;85;970;5;14;26;169;162;173;179;1837
2022;Neurochirurgie;ICD10-S00-T98;Verletzungen und Vergiftungen;68;144;211;1507;1632;1757;2669;18402;47;59;113;1040;1283;1519;2562;13874;115;203;324;2547;2915;3276;5231;32276
2022;Neurochirurgie;ICD10-Z00-Z99;Faktoren,die zur Inanspruchn.d.Gesundheitsw.führen;1;-;2;21;11;11;4;175;-;6;3;11;10;7;14;194;1;6;5;32;21;18;18;369
2022;Neurochirurgie;ICD10-U00-U85;Schlüsselnummern für besondere Zwecke;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2022;Neurochirurgie;UNBEKANNT;unbekannt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;2
2022;Neurochirurgie;;Insgesamt;242;360;515;10857;10856;9176;9565;101382;186;268;427;10094;10158;9006;10136;97846;428;628;942;20951;21014;18182;19701;199228
2022;Gefäßchirurgie;ICD10-A00-B99;Bestimmte infektiöse und parasitäre Krankheiten;-;1;-;220;211;155;204;1685;-;-;1;89;121;143;186;1138;-;1;1;309;332;298;390;2823
2022;Gefäßchirurgie;ICD10-C00-C97;Bösartige Neubildungen;-;-;-;90;99;56;55;494;-;-;-;76;81;66;54;468;-;-;-;166;180;122;109;962
2022;Gefäßchirurgie;ICD10-D00-D48;Übrige Neubildungen;-;-;-;11;9;4;9;97;-;-;-;13;18;13;11;122;-;-;-;24;27;17;20;219
2022;Gefäßchirurgie;ICD10-D50-D90;Krankheiten des Blutes;-;-;-;7;4;5;10;43;-;-;-;2;9;16;10;61;-;-;-;9;13;21;20;104
2022;Gefäßchirurgie;ICD10-E00-E90;Endokrine, Ernährungs- und Stoffwechselkrankheiten;-;-;5;1421;1635;1383;1530;9908;-;-;5;341;454;427;643;3467;-;-;10;1762;2089;1810;2173;13375
2022;Gefäßchirurgie;ICD10-F00-F99;Psychische und Verhaltensstörungen;-;-;-;-;-;1;1;14;-;-;-;-;2;1;-;10;-;-;-;-;2;2;1;24
2022;Gefäßchirurgie;ICD10-G00-G99;Krankheiten des Nervensystems;-;-;2;41;38;34;33;328;1;-;4;24;19;22;27;307;1;-;6;65;57;56;60;635
2022;Gefäßchirurgie;ICD10-H00-H59;Krankheiten des Auges und der Augenanhangsgebilde;-;-;-;1;-;3;3;13;-;-;-;3;1;1;1;9;-;-;-;4;1;4;4;22
2022;Gefäßchirurgie;ICD10-H60-H95;Krankheiten des Ohres und des Warzenfortsatzes;-;-;-;-;-;-;1;4;-;-;-;-;2;1;-;5;-;-;-;-;2;1;1;9
2022;Gefäßchirurgie;ICD10-I00-I99;Krankheiten des Kreislaufsystems;2;16;22;11798;11643;9404;9801;71289;4;12;23;5708;6174;5957;7030;44731;6;28;45;17506;17817;15361;16831;116020
2022;Gefäßchirurgie;ICD10-J00-J99;Krankheiten des Atmungssystems;-;-;4;31;43;41;38;292;-;-;-;18;14;11;9;118;-;-;4;49;57;52;47;410
2022;Gefäßchirurgie;ICD10-K00-K93;Krankheiten des Verdauungssystems;1;1;3;111;129;87;71;990;-;1;3;79;98;93;108;821;1;2;6;190;227;180;179;1811
2022;Gefäßchirurgie;ICD10-L00-L99;Krankheiten der Haut und der Unterhaut;2;5;6;213;233;212;261;1941;-;2;3;113;127;159;291;1394;2;7;9;326;360;371;552;3335
2022;Gefäßchirurgie;ICD10-M00-M99;Krankh. d. Muskel-Skelett-Systems u.d.Bindegewebes;-;1;1;95;82;82;107;701;-;-;-;39;59;62;89;489;-;1;1;134;141;144;196;1190
2022;Gefäßchirurgie;ICD10-N00-N99;Krankheiten des Urogenitalsystems;2;3;2;301;395;358;399;2624;-;2;2;208;216;205;261;1684;2;5;4;509;611;563;660;4308
